Product name,Vaccine status,WHO review,Description,Developers,Highest Development Phase,Species,Life cycle,Antigen,Platform,Adjuvant,Route of administration,Trial status,Trial phase,Trial sites,Trial end year,CHMI site,Registry ID,Link to trial
R0.6C/Alhydrogel/Matrix M1 + Pfs230D1M-EPA/Matrix M1;R0.6C/Alhydrogel/Matrix M1;Pfs230D1M-EPA/Matrix M1,Active;Active;Active,None;None;None,A study of three malaria vaccines to prevent the transmission of malaria in adults in Mali: TBVax2,US National Institute of Allergy and Infectious Diseases (NIAID); University of Bamako,Phase I;Phase I;Phase II,P. falciparum;P. falciparum;P. falciparum,Sexual stage;Sexual stage;Sexual stage,"Pfs48/45,Pfs230;Pfs48/45;Pfs230",Recombinant subunit;Recombinant subunit;Recombinant subunit,"Alhydrogel,Matrix M1;Alhydrogel,Matrix M1;Matrix M1","Intramuscular,Intramuscular;Intramuscular;Intramuscular",Completed,Phase I;Phase I;Phase I,Mali,2023,No,ISRCTN13649456,https://www.isrctn.com/ISRCTN13649456
R0.6C/Alhydrogel;R0.6C/Alhydrogel/Matrix M1,Active;Active,None;None,"Safety, tolerability and transmission-reducing activity of R0.6C in healthy malaria-naïve adults in the Netherlands",Radboud University,Phase I;Phase I,P. falciparum;P. falciparum,Sexual stage;Sexual stage,Pfs48/45;Pfs48/45,Recombinant subunit;Recombinant subunit,"Alhydrogel;Alhydrogel,Matrix M1",Intramuscular;Intramuscular,Completed,Phase I;Phase I,Netherlands,2022,No,NCT04862416,https://clinicaltrials.gov/study/NCT04862416
R21/AS01B,Active,,Safety and immunogenicity of R21/AS01B in healthy UK volunteers (VAC056),University of Oxford,Phase I,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01B,Intramuscular,Completed,Phase I,United Kingdom,2017,No,NCT02600975,https://clinicaltrials.gov/ct2/show/NCT02600975
R21/Matrix M1,Active,"WHO Prequalified,WHO recommended","Phase Ib/IIb of R21/Matrix-M in 5-17 month old children in Nanoro, Burkina Faso",University of Oxford; Institut de Recherche en Sciences de la Sante - Clinical Research Unit of Nanoro (IRSS-URCN); European and Developing Countries Clinical Trials Partnership (EDCTP),Phase III,P. falciparum,Pre-erythrocytic stage,PfCSP,Recombinant subunit,Matrix M1,Intramuscular,Completed,Phase Ib/IIb,Burkina Faso,2023,No,NCT03896724,https://clinicaltrials.gov/ct2/show/NCT03896724
R21/Matrix M1,Active,"WHO Prequalified,WHO recommended",Phase III of R21/Matrix-M in African children against clinical malaria,University of Oxford; Institut de Recherche en Sciences de la Sante Clinical Research Unit of Nanoro IRSS URCN; Institut de Recherche en Sciences de la Sante Direction Regionale de l'Ouest; University of Sciences Techniques and Technologies of Bamako; Kenya Medical Research Institute (KEMRI); Ifakara Health Institute; London School of Hygiene and Tropical Medicine (LSHTM),Phase III,P. falciparum,Pre-erythrocytic stage,PfCSP,Recombinant subunit,Matrix M1,Intramuscular,Ongoing,Phase III,Tanzania;Mali;Kenya;Burkina Faso,2024 (expected),No,NCT04704830; PACTR202102694561794,https://trialsearch.who.int/Trial2.aspx?TrialID=PACTR202102694561794
R21/Matrix M1,Active,"WHO Prequalified,WHO recommended","Phase 1b age de-escalation, dose-escalation study of R21/Matrix-M in adults, young children and infants in Kilifi, Kenya. (VAC073)",University of Oxford; Kenya Medical Research Institute (KEMRI); European & Developing Countries Clinical Trials Partnership (EDCTP),Phase III,P. falciparum,Pre-erythrocytic stage,PfCSP,Recombinant subunit,Matrix M1,Intramuscular,Completed,Phase Ib,Kenya,2022,No,NCT03580824; PACTR202105682956280,https://trialsearch.who.int/Trial2.aspx?TrialID=PACTR202105682956280; https://clinicaltrials.gov/ct2/show/NCT03580824
R21/Matrix M1,Active,,"Phase I/IIa sporozoite challenge study of adjuvanted R21, different dose schedules in healthy UK volunteers (VAC072)",University of Oxford,Phase III,P. falciparum,Pre-erythrocytic stage,PfCSP,Recombinant subunit,Matrix M1,Intramuscular,Completed,Phase I/II,United Kingdom,2021,Yes,NCT03970993,https://clinicaltrials.gov/ct2/show/NCT03970993
R21/Matrix M1,Active,,Phase Ib of R21/Matrix-M1 in West African adult volunteers,University of Oxford; European & Developing Countries Clinical Trials Partnership (EDCTP); European Vaccine Initiative (EVI); Centre National de Recherche et de Formatation sur le Paludisme (CNRFP),Phase III,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",Matrix M1,Intramuscular,Completed,Phase Ib,Burkina Faso,2017,No,NCT02925403; PACTR201610001813366,https://clinicaltrials.gov/ct2/show/NCT02925403; https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=1813
R21/Matrix M1,Active,,"Safety and immunogenicity of R21, with and without Matrix-M1 in healthy UK volunteers (VAC053)",University of Oxford,Phase III,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",Matrix M1,Intramuscular,Completed,Phase I,United Kingdom,2017,No,NCT02572388,https://clinicaltrials.gov/ct2/show/NCT02572388
R21/Matrix M1,Active,"WHO Prequalified,WHO recommended","Phase Ib trial in Bougouni, Mali - safety and immunogenicity of R21/Matrix-M single and two vial presentation, different immunisation schedules, co-administered with EPI vaccines in African children","University of Oxford; Malaria Research and Training Center, Bamako, Mali",Phase III,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",Matrix M1,Intramuscular,Ongoing,Phase Ib,Mali,2024 (expected),No,NCT05155579,https://clinicaltrials.gov/ct2/show/NCT05155579
