TrialId,Product name,Vaccine status,WHO review,Description,Developers,Highest Development Phase,Species,Life cycle,Antigen,Platform,Adjuvant,Route of administration,Trial status,Trial phase,Trial sites,Trial end year,CHMI site,Registry ID,Link to trial
113,PvSPZ,Active,,Phase 1/2a immunization of human volunteers with P. vivax irradiated sporozoites,"Malaria Vaccine and Drug Development Center (MVDC), Colombia; National Health, Lung, and Blood Institute (NHLBI); Asoclinic Inmunologica Ltda",Phase II,P. vivax,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Mosquito bite,Completed,Phase I/IIa,Colombia,2017,Yes,NCT01082341,https://clinicaltrials.gov/ct2/show/NCT01082341
114,R21/AS01B,Active,,Safety and immunogenicity of R21/AS01B in healthy UK volunteers (VAC056),University of Oxford,Phase I,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01B,Intramuscular,Completed,Phase I,United Kingdom,2017,No,NCT02600975,https://clinicaltrials.gov/ct2/show/NCT02600975
115,R21/Matrix M1,Active,,"Phase Ib/IIb of R21/Matrix-M in 5-17 month old children in Nanoro, Burkina Faso",University of Oxford; Institut de Recherche en Sciences de la Sante - Clinical Research Unit of Nanoro (IRSS-URCN); European and Developing Countries Clinical Trials Partnership (EDCTP),Phase III,P. falciparum,Pre-erythrocytic stage,PfCSP,Recombinant subunit,Matrix M1,Intramuscular,Ongoing,Phase Ib/IIb,Burkina Faso,2023 (expected),No,NCT03896724,https://clinicaltrials.gov/ct2/show/NCT03896724
116,R21/Matrix M1,Active,,Phase III of R21/Matrix-M in African children against clinical malaria,University of Oxford; Institut de Recherche en Sciences de la Sante Clinical Research Unit of Nanoro IRSS URCN; Institut de Recherche en Sciences de la Sante Direction Regionale de l'Ouest; University of Sciences Techniques and Technologies of Bamako; Kenya Medical Research Institute (KEMRI); Ifakara Health Institute; London School of Hygiene and Tropical Medicine (LSHTM),Phase III,P. falciparum,Pre-erythrocytic stage,PfCSP,Recombinant subunit,Matrix M1,Intramuscular,Ongoing,Phase III,Tanzania;Mali;Kenya;Burkina Faso,2023 (expected),No,PACTR202102694561794; 	NCT04704830,https://trialsearch.who.int/Trial2.aspx?TrialID=PACTR202102694561794
117,R21/Matrix M1,Active,,"Phase 1b age de-escalation, dose-escalation study of R21/Matrix-M in adults, young children and infants in Kilifi, Kenya. (VAC073)",University of Oxford; Kenya Medical Research Institute (KEMRI); European & Developing Countries Clinical Trials Partnership (EDCTP),Phase III,P. falciparum,Pre-erythrocytic stage,PfCSP,Recombinant subunit,Matrix M1,Intramuscular,Ongoing,Phase Ib,Kenya,2022 (expected),No,PACTR202105682956280; NCT03580824,"https://trialsearch.who.int/Trial2.aspx?TrialID=PACTR202105682956280
https://clinicaltrials.gov/ct2/show/NCT03580824"
118,R21/Matrix M1,Active,,"Phase I/IIa sporozoite challenge study of adjuvanted R21, different dose schedules in healthy UK volunteers (VAC072)",University of Oxford,Phase III,P. falciparum,Pre-erythrocytic stage,PfCSP,Recombinant subunit,Matrix M1,Intramuscular,Completed,Phase I/II,United Kingdom,2021,Yes,NCT03970993,https://clinicaltrials.gov/ct2/show/NCT03970993
119,R21/Matrix M1,Active,,Phase Ib of R21/Matrix-M1 in West African adult volunteers,University of Oxford; European & Developing Countries Clinical Trials Partnership (EDCTP); European Vaccine Initiative (EVI); Centre National de Recherche et de Formatation sur le Paludisme (CNRFP),Phase III,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",Matrix M1,Intramuscular,Completed,Phase Ib,Burkina Faso,2017,No,NCT02925403; PACTR201610001813366,"https://clinicaltrials.gov/ct2/show/NCT02925403
https://trialsearch.who.int/Trial2.aspx?TrialID=PACTR201610001813366"
120,R21/Matrix M1,Active,,"Safety and immunogenicity of R21, with and without Matrix-M1 in healthy UK volunteers (VAC053)",University of Oxford,Phase III,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",Matrix M1,Intramuscular,Completed,Phase I,United Kingdom,2017,No,NCT02572388,https://clinicaltrials.gov/ct2/show/NCT02572388
121,R21/Matrix M1,Active,,"Phase Ib trial in Bougouni, Mali - safety and immunogenicity of R21/Matrix-M single and two vial presentation, different immunisation schedules, co-administered with EPI vaccines in African children","University of Oxford; Malaria Research and Training Center, Bamako, Mali",Phase III,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",Matrix M1,Intramuscular,Ongoing,Phase Ib,Mali,2024,No,NCT05155579,https://clinicaltrials.gov/ct2/show/NCT05155579
122,R21/Matrix M1,Active,,Phase 2 trial of R21/Matrix-M safety and immunogenicity in Thai adults (MAL22001),University of Oxford; Mahidol Oxford Tropical Medicine Research Unit,Phase III,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",Matrix M1,Intramuscular,Ongoing,Phase II,Thailand,2023,No,NCT05252845,https://clinicaltrials.gov/ct2/show/NCT05252845
123,R21/Matrix M1;ChAd63-MVA ME-TRAP,Active;Inactive,None;None,"Phase IIb CHMI, R21/Matrix-M and ChAd63-MVA ME-TRAP in Kenyan adults (VAC074)",University of Oxford; Kenya Medical Research Institute (KEMRI); European & Developing Countries Clinical Trials Partnership (EDCTP),Phase III;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,PfCSP;ME-TRAP,"Recombinant subunit,Virus-like particle;Recombinant viral vector",Matrix M1;None,Intramuscular,Ongoing,Phase IIb,Kenya,2023 (expected),Yes,NCT03947190; PACTR202108505632810,https://clinicaltrials.gov/ct2/show/NCT03947190
124,R21/Matrix M1;R21/Matrix M1 + ChAd63-MVA ME-TRAP,Active;Inactive,None;None,Phase I/IIa sporozoite challenge study of R21 alone at different doses and R21 + ChAd63-MVA ME-TRAP in healthy malaria-naïve volunteers (VAC065),University of Oxford,Phase III;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,PfCSP;ME-TRAP,"Recombinant subunit,Virus-like particle;Recombinant viral vector",Matrix M1;Matrix M1,Intramuscular,Completed,Phase I/IIa,United Kingdom,2017,Yes,"NCT02905019, EUCTR2016-001265-92-GB","https://clinicaltrials.gov/ct2/show/NCT02905019
https://trialsearch.who.int/Trial2.aspx?TrialID=EUCTR2016-001265-92-GB"
125,rCSP/AP10-602,Active,,"Phase I challenge study to evaluate safety, immunogenicity, and efficacy of a recombinant sporozoite protein (rCSP) adjuvanted with AP 10-602 (GLA-LSQ), in healthy adults",US National Institute of Allergy and Infectious Diseases (NIAID),Phase I,P. falciparum,Pre-erythrocytic stage,PfCSP,Recombinant subunit,GLA-LSQ,Intramuscular,Ongoing,Phase I,United States,2022 (expected),Yes,NCT03589794,https://clinicaltrials.gov/ct2/show/NCT03589794
126,Rh5.1/Matrix M1,Active,,Safety and immunogenicity of Rh5.1/Matrix-M in healthy adults and infants in Tanzania,University of Oxford; Ifakara Health Institute; European and Developing Countries Clinical Trials Partnership (EDCTP),Phase I,P. falciparum,Blood stage,PfRh5,Recombinant subunit,Matrix M1,Intramuscular,Ongoing,Phase Ib,Tanzania,2023,No,NCT04318002,https://clinicaltrials.gov/ct2/show/NCT04318002
127,Rh5/AS01B,Active,,Phase I/IIa multi-centre dose escalation CHMI trial of Rh5 in health adults in the UK,University of Oxford,Phase II,P. falciparum,Blood stage,PfRh5,Recombinant subunit,AS01B,Intramuscular,Completed,Phase IIa,United Kingdom,2019,Yes,NCT02927145,https://clinicaltrials.gov/ct2/show/NCT02927145
128,"RTS,S/AS01B + ChAd63-MVA ME-TRAP",Inactive,,"Phase I/IIa sporozoite challenge study of RTS,S/AS01B + ChAd63 and MVA encoding ME-TRAP and RTS,S/A01B alone (VAC055)",University of Oxford,Phase II,P. falciparum,Pre-erythrocytic stage,"PfCSP,ME-TRAP","Recombinant subunit,Virus-like particle,Recombinant viral vector",AS01B,Intramuscular,Completed,Phase I/IIa,United Kingdom,2014,Yes,EUCTR2013-000393-30-GB,https://trialsearch.who.int/Trial2.aspx?TrialID=EUCTR2013-000393-30-GB
129,"RTS,S/AS01B + ChAd63-MVA ME-TRAP",Inactive,,"ChAd63 ME-TRAP and MVA ME-TRAP delivered with RTS,S/AS01B (at full standard or fractional 3rd dose), and of RTS,S/AS01B alone (at full standard or fractional 3rd dose) (VAC059)",University of Oxford,Phase II,P. falciparum,Pre-erythrocytic stage,"PfCSP,ME-TRAP","Recombinant subunit,Virus-like particle,Recombinant viral vector",AS01B,Intramuscular,Completed,Phase I/IIa,United Kingdom,2015,Yes,EUCTR2014-001301-40-GB,https://trialsearch.who.int/Trial2.aspx?TrialID=EUCTR2014-001301-40-GB
130,"RTS,S/AS01B;RTS,S/AS02A",Inactive;Inactive,None;None,"Phase II adjuvant justification study of RTS,S/AS01B and RTS,S/AS02A in malaria-naive adults aged 18 to 45 years (Malaria-048)",GlaxoSmithKline (GSK),Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,PfCSP;PfCSP,"Recombinant subunit,Virus-like particle;Recombinant subunit,Virus-like particle",AS01B;AS02A,Intramuscular,Completed,Phase II,Belgium,2007,No,EUCTR2006-002095-18-BE,https://trialsearch.who.int/Trial2.aspx?TrialID=EUCTR2006-002095-18-BE
131,"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended",Post-implementation safety study,GlaxoSmithKline (GSK),Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Ongoing,Phase IV,Ghana;Kenya;Malawi,2025 (expected),No,NCT03855995,https://clinicaltrials.gov/ct2/show/NCT03855995
132,"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended",Epidemiology of malaria transmission intensity in sub-Saharan Africa,GlaxoSmithKline (GSK); PATH,Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Ongoing,Phase IV,Burkina Faso;Ghana;Kenya;Malawi;Senegal;Tanzania,2024 (expected),No,NCT02251704,https://clinicaltrials.gov/ct2/show/NCT02251704
133,"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended",Fractional booster dose of GSK candidate malaria vaccine,GlaxoSmithKline (GSK); PATH,Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase II,United States,2020,Yes,NCT03824236,https://clinicaltrials.gov/ct2/show/NCT03824236
134,"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended","Efficacy of RTS,S/AS01E in children aged 5 to 17 months in Tanzania and Kenya",GlaxoSmithKline (GSK),Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase II,Kenya;Tanzania,2008,No,NCT00380393,https://clinicaltrials.gov/ct2/show/NCT00380393
135,"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended",Efficacy of GSK Biologicals' candidate vaccine 257049 against malaria disease in infants and children in Africa,GlaxoSmithKline (GSK); PATH,Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase III,Burkina Faso;Gabon;Ghana;Kenya;Malawi;Mozambique;Tanzania,2014,No,NCT00866619,https://clinicaltrials.gov/ct2/show/NCT00866619
136,"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended","Extended follow up of phase 2b vaccine trial with RTS,S/AS01E in Kilifi, Kenya (MAL059)",GlaxoSmithKline (GSK); Kenya Medical Research Institute (KEMRI),Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase II,Kenya,2016,No,NCT00872963,https://clinicaltrials.gov/ct2/show/NCT00872963
137,"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended",Safety and immunogenicity of GSK vaccine 257049 administered on 7 schedules to African infants,GlaxoSmithKline (GSK); PATH,Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase II,Malawi,2014,No,NCT01231503,https://clinicaltrials.gov/ct2/show/NCT01231503
138,"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended","Phase II of RTS,S/AS01E in EPI regimen with DTPwHepB/Hib, OPV, measles and yellow fever vaccination in infants living in malaria-endemic regions (MALARIA-050)",GlaxoSmithKline (GSK),Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase II,Ghana;Gabon;Tanzania,2009,No,EUCTR2012-005695-34-Outside-EU/EEA,https://trialsearch.who.int/Trial2.aspx?TrialID=EUCTR2012-005695-34-Outside-EU/EEA
139,"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended","RTS,S/AS01E in Asian populations, safety and immunogenicity of fractional dose schedules",University of Oxford; Mahidol University,Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase II,Thailand,2018,No,NCT02992119,https://clinicaltrials.gov/ct2/show/NCT02992119
140,"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended","GSK vaccine candidate SB257049, various dose schedules, sporozoite challenge in healthy malaria-naïve adults",GlaxoSmithKline (GSK); PATH,Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase II,United States,2018,Yes,NCT03162614,https://clinicaltrials.gov/ct2/show/NCT03162614
141,"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended","GSK vaccine candidate SB257049, with or without fractional doses, early dose 4 and yearly doses, in children 5-17 months of age",GlaxoSmithKline  (GSK); PATH; US Department of Defence (DOD),Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Ongoing,Phase II,Ghana;Kenya,2022 (expected),No,NCT03276962,https://clinicaltrials.gov/ct2/show/NCT03276962
142,"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended","RTS,S immunologic hypo-responsiveness in African adults",GlaxoSmithKline (GSK); PATH; Kenya Medical Research Institute (KEMRI); US Department of Defence (DOD); Triclinium Clinical Development Ltd; DF/Net; Bill and Melinda Gates Foundation (BMGF),Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Ongoing,Phase II,Kenya,2023 (expected),No,NCT04661579,https://clinicaltrials.gov/ct2/show/NCT04661579
143,"RTS,S/AS01E;RTS,S/AS02D",Active;Inactive,"WHO Prequalified,WHO recommended;None","Bridging safety and immunogenicity study of RTS,S/AS01E to RTS,S/AS02D in Gabonese children aged 18 months to 4 years",GlaxoSmithKline (GSK),Phase IV;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,PfCSP;PfCSP,"Recombinant subunit,Virus-like particle;Recombinant subunit,Virus-like particle",AS01E;AS02D,Intramuscular,Completed,Phase II,Gabon,2007,No,NCT00307021,https://clinicaltrials.gov/ct2/show/NCT00307021
144,"RTS,S/AS02A",Inactive,,"Safety and immunogenicity of RTS,S/AS02A in Mozambican children aged 1 to 4 years at time of first vaccine dose",GlaxoSmithKline (GSK),Phase II,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS02A,Intramuscular,Completed,Phase II,Mozambique,2007,No,NCT00323622,https://clinicaltrials.gov/ct2/show/NCT00323622
145,"RTS,S/AS02A",Inactive,,"Safety, immunogenicity and efficacy RTS,S/AS02A in children aged 1 to 4 years in a malaria-endemic region of Mozambique",GlaxoSmithKline (GSK),Phase II,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS02A,Intramuscular,Completed,Phase II,Mozambique,2005,No,NCT00197041,https://clinicaltrials.gov/ct2/show/NCT00197041
146,"RTS,S/AS02A;RTS,S/AS01B",Inactive;Inactive,None;None,"Human sporozoite challenge/rechallenge of vaccines containing RTS,S",U.S. Army Medical Research and Materiel Command,Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,PfCSP;PfCSP,"Recombinant subunit,Virus-like particle;Recombinant subunit,Virus-like particle",AS02A;AS01B,Intramuscular,Completed,Phase II,United States,2006,Yes,NCT00075049,https://clinicaltrials.gov/ct2/show/NCT00075049
147,"RTS,S/AS02A;RTS,S/AS01B",Inactive;Inactive,None;None,"Safety, immunogenicity RTS,S/AS02A and RTS,S/AS01B in malaria-experienced adults living in western Kenya",U.S. Army Medical Research and Materiel Command,Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,PfCSP;PfCSP,"Recombinant subunit,Virus-like particle;Recombinant subunit,Virus-like particle",AS02A;AS01B,Intramuscular,Completed,Phase II,Kenya,2006,No,NCT00197054,https://clinicaltrials.gov/ct2/show/NCT00197054
148,"RTS,S/AS02D",Inactive,,"Phase I/IIb of RTS,S/AS02D in infants in a malaria-endemic region (MALARIA-038)",GlaxoSmithKline (GSK),Phase II,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS02D,Intramuscular,Completed,Phase II,Mozambique,2007,No,NCT00197028,https://clinicaltrials.gov/ct2/show/NCT00197028
149,"RTS,S/AS02D",Inactive,,"Phase IIb of RTS,S/AS02D in Expanded Program on Immunization (EPI) regimen with DTPw/Hib in infants living in a malaria-endemic region",GlaxoSmithKline (GSK),Phase II,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS02D,Intramuscular,Completed,Phase II,Tanzania,2009,No,NCT00289185,https://clinicaltrials.gov/ct2/show/NCT00289185
150,"RTS,S/AS02D;RTS,S/AS02A",Inactive;Inactive,None;None,"Safety and immunogenicity of RTS,S/AS02D and RTS,S/AS02A in children aged 3 to 5 years in a malaria-endemic region of Mozambique",GlaxoSmithKline (GSK),Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,PfCSP;PfCSP,"Recombinant subunit,Virus-like particle;Recombinant subunit,Virus-like particle",AS02D;AS02A,Intramuscular,Completed,Phase I,Mozambique,2005,No,NCT00197067,https://clinicaltrials.gov/ct2/show/NCT00197067
151,VCL2510,Inactive,,"PfCSP DNA vaccine followed by a single dose of MVA.CSO, prime boost",US National Institute of Allergy and Infectious Diseases (NIAID),Phase II,P. falciparum,Pre-erythrocytic stage,PfCSP,"DNA vaccine,Recombinant viral vector",,Intramuscular; Intradermal,Withdrawn,Phase I/II,Ghana,2008,No,NCT00377494,https://clinicaltrials.gov/ct2/show/NCT00377494
152,VLPM01,Active,,"Safety, tolerability, immunogenicity and experimental efficacy of VLPM01 (alpha virus-like-particle PfCSP) in healthy, malaria-naïve adult volunteers",VLP Therapeutics,Phase I,P. falciparum,Pre-erythrocytic stage,PfCSP,Virus-like particle,Alhydrogel,Intramuscular,Completed,Phase I,United States,2020,Yes,NCT03867331,https://clinicaltrials.gov/ct2/show/NCT03867331
153,VMP001/AS01B,Inactive,,"Phase 1/2a dose escalation study of PvCSP in healthy, malaria-naïve adults aged 18 to 55 years ",Walter Reed Army Institute of Researchl; PATH; GlaxoSmithKline (GSK); U.S. Army Medical Research and Development Command; US Department of Defense (DoD),Phase II,P. vivax,Pre-erythrocytic stage,PvCSP,Recombinant subunit,AS01B,Intramuscular,Completed,Phase I/II,United States,2012,Yes,NCT01157897,https://clinicaltrials.gov/ct2/show/NCT01157897
