TrialId,Product name,Vaccine status,WHO review,Description,Developers,Highest Development Phase,Species,Life cycle,Antigen,Platform,Adjuvant,Route of administration,Trial status,Trial phase,Trial sites,Trial end year,CHMI site,Registry ID,Link to trial
71,PfGAP3-KO,Active,,"Safety, attenuation and immunogenicity of PfGAP3KO administered via A. Stephensi mosquitoes",Seattle Children's Research Institute (SCRI),Phase I,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Mosquito bite,Completed,Phase I,United States,2015,No,NCT02313376,https://clinicaltrials.gov/ct2/show/NCT02313376
72,PfGAP3-KO,Active,,"Safety, immunogenicity and efficacy of PfGAP3KO administered via the A. Stephensi mosquitoes to malaria-naïve US adults",US National Institute of Allergy and Infectious Diseases (NIAID),Phase I,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Mosquito bite,Completed,Phase I,United States,2019,Yes,NCT03168854,https://clinicaltrials.gov/ct2/show/NCT03168854
73,PfLSA3/Alhydrogel;PfLSA3 ISA 720,Inactive;Inactive,None;None,Phase I/IIa of liver stage antigen 3 (LSA3) via CHMI,Radboud University; Institut Pasteur,Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,PfLSA3;PfLSA3,Recombinant subunit;Recombinant subunit,Alhydrogel;Montanide ISA 720,Subcutaneous,Completed,Phase I/II,Netherlands,2008,Yes,NCT00509158; EUCTR2006-001743-66-NL,"https://clinicaltrials.gov/ct2/show/NCT00509158
https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2006-001743-66"
74,PfPEBS/Alhydrogel,Inactive,,"Safety, immunogenicity and efficacy of PfPEBS-LSP synthetic polypeptide vaccine against sporozoite challenge in malaria naïve adults",Vac4Alll; Centre Hospitalier Universitaire Vaudois; Radboud University; European Commission,Phase II,P. falciparum,"Pre-erythrocytic stage,Blood stage",Pf11.1,Recombinant subunit,Alhydrogel,Subcutaneous,Completed,Phase Ia/IIa,Switzerland,2013,Yes,NCT01605786,https://clinicaltrials.gov/ct2/show/NCT01605786
75,Pfs25 VLP FhCMB,Inactive,,Phase 1 of plant-derived Pfs25 VLP-FhCMB malaria transmission blocking vaccine in healthy adults,Fraunhofer Center for Molecular Biotechnology; ExpreS2ion Technologies (Denmark); Burnet Institute; University of Oxford; ARTEST Biotechnology; Johns Hopkins University; PATH; Sabin Vaccine Institute,Phase I,P. falciparum,Sexual stage,Pfs25,Virus-like particle,Alhydrogel,Parenteral,Completed,Phase I,United States,2015,No,NCT02013687,https://clinicaltrials.gov/ct2/show/NCT02013687
76,Pfs25-EPA/Alhydrogel,Inactive,,"Phase 1 of Pfs25-EPA/Alhydrogel in malaria exposed adults in Bancoumana, Mali","US National Institute of Allergy and Infectious Diseases (NIAID); Malaria Research and Training Center, Bamako, Mali",Phase I,P. falciparum,Sexual stage,Pfs25,Recombinant subunit,Alhydrogel,Parenteral,Completed,Phase I,Mali,2016,No,NCT01867463,https://clinicaltrials.gov/ct2/show/NCT01867463
77,Pfs25-EPA/Alhydrogel,Inactive,,Phase 1 of Pfs25-EPA/Alhydrogel in malaria naive adults,US National Institute of Allergy and Infectious Diseases (NIAID); John Hopkins University,Phase I,P. falciparum,Sexual stage,Pfs25,Recombinant subunit,Alhydrogel,Parenteral,Completed,Phase I,United States,2013,No,NCT01434381,https://clinicaltrials.gov/ct2/show/NCT01434381
78,Pfs25-IMX313/Matrix M1,Active,,Phase Ia of Pfs25-IMX313/Matrix-M1 in healthy adults living in the UK (VAC077),University of Oxford,Phase I,P. falciparum,Sexual stage,Pfs25,Recombinant subunit,Matrix M1,Intramuscular,Completed,Phase I,United Kingdom,2020,No,NCT04130282,https://clinicaltrials.gov/ct2/show/NCT04130282
79,Pfs25-IMX313/Matrix M1,Active,,Phase Ib age de-escalation and dose escalation of Pfs25-IMX313/Matrix-M intramuscularly in healthy adults and young children in Tanzania,University of Oxford; Ifakara Health Institute,Phase I,P. falciparum,Sexual stage,Pfs25,Recombinant subunit,Matrix M1,Intramuscular,Ongoing,Phase Ib,Tanzania,2023 (expected),No,NCT04271306,https://clinicaltrials.gov/ct2/show/NCT04271306
80,Pfs25M-EPA/AS01B;Pfs230D1M-EPA/AS01B;Pfs25M-EPA/AS01B + Pfs230D1M-EPA/AS01B,Active;Active;Active,None;None;None,"Pfs25M and Pfs230D1M, full and fractional dosing, in healthy adults in Mali",US National Institute of Allergy and Infectious Diseases (NIAID); Burnet Institute; PATH,Phase II;Phase II;Phase II,P. falciparum;P. falciparum;P. falciparum,Sexual stage;Sexual stage;Sexual stage,"Pfs25;Pfs230;Pfs25,Pfs230",Recombinant subunit;Recombinant subunit;Recombinant subunit,AS01B;AS01B;AS01B,Parenteral,Completed,Phase II,Mali,2020,No,NCT02942277,https://clinicaltrials.gov/ct2/show/record/NCT02942277
81,Pfs25-Pfs25 conjugate vaccine,Inactive,,Phase 1 study evaluating safety and immunogenicity of Pfs25-Pfs25 conjugate vaccine,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),Phase I,P. falciparum,Sexual stage,Pfs25,Recombinant subunit,,Parenteral,Completed,Phase I,United States,2013,No,NCT00977899,https://clinicaltrials.gov/ct2/show/NCT00977899
82,PfSPZ Vaccine,Active,,Phase 1/2a of PfSPZ vaccine subcutaneously or intradermally to malaria-naïve adult volunteers,PATH; Sanaria; Naval Medical Research Center,Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intradermal; Subcutaneous,Completed,Phase I,United States,2010,Yes,NCT01001650,https://clinicaltrials.gov/ct2/show/NCT01001650
83,PfSPZ Vaccine,Active,,Phase 1 dose-escalation challenge study of PfSPZ Vaccine intravenously in malaria-naive adults (VRC 312),Sanaria; US National Institute of Allergy and Infectious Diseases (NIAID); US Military Malaria Vaccine Program,Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Completed,Phase I,United States,2013,Yes,NCT01441167,https://clinicaltrials.gov/ct2/show/NCT01441167
84,PfSPZ Vaccine,Active,,Phase I intradermal PfSPZ Challenge in malaria-naïve adults,US National Institute of Allergy and Infectious Diseases (NIAID),Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intradermal,Completed,Phase I,United States,2013,Yes,NCT01546389,https://clinicaltrials.gov/ct2/show/NCT01546389
85,PfSPZ Vaccine,Active,,Intravenous immunization with PfSPZ Vaccine in healthy African adults,"US National Institute of Allergy and Infectious Diseases (NIAID); Malaria Research and Training Center, Bamako, Mali; Sanaria",Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Completed,Phase I,Mali,2015,No,NCT01988636,https://clinicaltrials.gov/ct2/show/NCT01988636
86,PfSPZ Vaccine,Active,,Phase 1 CHMI of intravenous and intramuscular PfSPZ Vaccine in malaria-naive adults (VRC 314),US National Institute of Allergy and Infectious Diseases (NIAID),Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous; Intramuscular,Completed,Phase I,United States,2016,Yes,NCT02015091,https://clinicaltrials.gov/ct2/show/NCT02015091
87,PfSPZ Vaccine,Active,,Phase 1 dose escalation of intravenous PfSPZ Vaccine in Tanzanian adults,Sanaria; Ifakara Health Institute; Swiss Tropical and Public Health Institute; Tansania Commission for Science and Technology,Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Completed,Phase I,Tanzania,2015,Yes,NCT02132299,https://clinicaltrials.gov/ct2/show/NCT02132299
88,PfSPZ Vaccine,Active,,"PfSPZ Vaccine by direct venous inoculation in healthy malaria-naïve adults, heterologous vs. homologous CHMI",Sanaria; Naval Medical Research Center; Walter Reed Army Institute of Research (WRAIR); Miliary Infectious Diseases Research Program (MIDRP),Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Completed,Phase I,United States,2015,Yes,NCT02215707,https://clinicaltrials.gov/ct2/show/NCT02215707
89,PfSPZ Vaccine,Active,,Phase 1 of direct venous inoculation of PfSPZ Vaccine in Equatoguinean adults,Sanaria; Ifakara Health Institute; Swiss Tropical and Public Health Institute (STPH); Government of Equatorial Guinea; Hospital Universitario La Paz; Marathon oil Corporation; Noble Oil Services,Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Completed,Phase I,Equatorial Guinea,2016,No,NCT02418962,https://clinicaltrials.gov/ct2/show/NCT02418962
90,PfSPZ Vaccine,Active,,PfSPZ Vaccine direct venous inoculation: dose optimization with heterologous challenge in healthy malaria-naïve adults,Sanaria; Naval Medical Research Center; Walter Reed Army Institute of Research (WRAIR); University of Maryland; Joint Warfighter Medical Research Program,Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Completed,Phase II,United States,2017,Yes,NCT02601716,https://clinicaltrials.gov/ct2/show/NCT02601716
91,PfSPZ Vaccine,Active,,"Age de-escalationstudy of direct venous inoculation of PfSPZ Vaccine in Tanzanian adults, children, and infants",Sanaria; Ifakara Health Institute; Swiss Tropical and Public Health Institute (STPH); Medical Care Development; Tanzania Commission for Science and Technology; Government of Equatorial Guinea; Marathon Oil Corporation; Noble Oil Services,Phase II,P. falciparum,Pre-erythrocytic stage,Whole sporozoite,Whole parasite,,Intravenous,Completed,Phase I,Tanzania,2017,Yes,NCT02613520,https://clinicaltrials.gov/ct2/show/NCT02613520
